DataYear,Latitude,Longitude,CouncilDistrictCode,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,NumberofBuildings,TotalGHGEmissions
0.0,0.18107806277125701,0.6603236189761791,0.15415067982725827,0.41383335777868097,0.18232155679395462,0.1778468427277233,0.2518213787139167,0.0,0.6466271649250523,0.25470763343215047,0.2500556773309195,0.16896984164440446,0.16810515109381705,0.2447698313129204,0.24119292101442136,0.3019240280947758,0.14119319429164195,0.0,0.1761401266005241,0.13391705682863805,0.17609029677077848,0.09059689535222662,0.0,49.3
0.0,0.5208561042881531,0.48021964942688766,0.0,0.6145040532408321,0.4700036292457356,0.3137331871432809,0.2608955547462423,0.6931471805599453,0.6727383089287382,0.4124728452655691,0.4128796940995881,0.3126778474834918,0.31693585125753465,0.44403134375238673,0.44372142887856103,0.34433520788692634,0.3319299805034599,0.0,0.2527912598165053,0.3150566993800834,0.25270975272040097,0.13863687193958923,0.0,79.2
0.0,0.3905266434983586,0.39943941526241206,0.0,0.47837187891625216,0.4054651081081644,0.3142238055481721,0.4058848989442073,0.0,0.569666123788924,0.4270311613152611,0.4288261203622731,0.6718787712911365,0.6820586111395567,0.5675081973062653,0.5692759181913143,0.49870561905331295,0.6931471805599454,0.0,0.0,0.6931471805599454,0.0,0.06062462181643484,0.0,54.2
0.0,0.38815957351720737,0.39350937218798504,0.0,0.08068891125014266,0.5877866649021191,0.1920115879079691,0.2679528113663724,0.0,0.5477298447330058,0.349051018828073,0.3494056998719963,0.2188590966245026,0.22197793042907846,0.4697062555935528,0.46938228469020044,0.24892184488073515,0.34882983775083415,0.0,0.0,0.3311874804136846,0.0,0.0192108362656777,0.0,13.8
0.0,0.3834666332703957,0.3957097867536018,0.6931471805599453,0.19761024930904503,0.18232155679395462,0.16116274558280055,0.23277969082919234,0.0,0.5477298447330058,0.6931471805599452,0.6931471805599453,0.6931471805599453,0.6931471805599452,0.6931471805599453,0.6931471805599453,0.11161844009804803,0.616561627248532,0.0,0.6931471805599453,0.588256184468906,0.6931471805599452,0.6931471805599453,0.0,211.49400000000009
0.0,0.3892860738312944,0.41335691907813926,0.0,0.5241814149475463,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5108256237659907,0.6400757127765437,0.6395310564635895,0.6931471805599453,0.6931471805599452,0.6532212777441603,0.6519627819686947,0.6931471805599453,0.6931471805599454,0.08155546539349348,0.6931471805599453,0.6931471805599454,0.6931471805599452,0.2453098467714702,0.22314355131420976,211.49400000000009
0.0,0.3866845403507347,0.37823783327246696,0.0,0.5389965007326869,0.5306282510621704,0.24280015680357483,0.257913940838859,0.48105037515448906,0.6829948090959274,0.6439613685119595,0.6456409646042066,0.43525648090479274,0.44160076679573645,0.6774005397775831,0.6783466056728924,0.2945770482533768,0.44467814338753087,0.0,0.3787453243870311,0.42289997653650835,0.3786310369358592,0.21100116448848427,0.0,124.4
0.0,0.4153296576375595,0.3721353284685533,0.6931471805599453,0.6099482367049713,0.5306282510621704,0.531148951770246,0.5180198426691991,0.6931471805599453,0.6519042220258963,0.485183193152653,0.4875935118331242,0.5677616315216611,0.5769184174844119,0.4713947036359183,0.4741002283340687,0.5471711456807689,0.49409936682828376,0.0,0.6046711926490183,0.47033277123260847,0.6045075907364785,0.17547344929607953,0.0,211.49400000000009
0.0,0.4160044594401383,0.37033336384005083,0.0,0.5961549145726356,0.4700036292457356,0.41699270564664037,0.40316962862060074,0.6931471805599453,0.6198159074743956,0.5044763960873319,0.5049532729556511,0.478396112708405,0.4844202282265896,0.4947384340374121,0.4944011018928344,0.4370737220520156,0.4182958052234004,0.0,0.5019550104567978,0.3976186242117157,0.5018119482911083,0.18447441015505564,0.0,167.1
0.0,0.4159482433454577,0.2936554461160804,0.0,0.6007738604289301,0.4700036292457356,0.547282604346992,0.5302802095101787,0.6931471805599453,0.6623755218931916,0.3941495701155883,0.3988034795309908,0.588001554868875,0.600013687638981,0.4055011473909864,0.41060115244143297,0.6892882455303289,0.5792596650017985,0.0,0.5520949792582827,0.5522804827768741,0.5519455717763241,0.15722476770768015,0.0,195.4
