TotalGHGEmissions,NaturalGas(kBtu),LogNaturalGas,NaturalGasSquared,SiteEnergyUse(kBtu),InteracaoGasEUI,CuboNaturalGas,InteracaoEnergia,RaizNaturalGas,InteracaoEnergiaAreaTotal,InteracaoEnergiaArea,SiteEUIWN(kBtu/sf),CuboElectricity,Electricity(kBtu),PropertyGFABuilding(s),LogElectricity,LargestPropertyUseTypeGFA,PropertyGFATotal,LogAreaTotal,RaizElectricity,EficienciaEnergetica
49.3,0.17609029677077848,0.162195629497123,0.031007792616820837,0.16896984164440446,0.04485154276085004,0.0054601714041027346,0.023581494279624082,0.41963114370930393,0.05513382906003314,0.03005075285266071,0.25470763343215047,0.002401638782261471,0.13391705682863805,0.2518213787139167,0.1256780605041231,0.3019240280947758,0.1778468427277233,0.163688062114382,0.36594679507906347,0.6633874272535887
79.2,0.25270975272040097,0.22530900719764674,0.06386221912000621,0.3126778474834918,0.10423591073094218,0.01613860560199283,0.07961790059324658,0.5027024494871702,0.1781271785705179,0.09809741764009658,0.4124728452655691,0.031272756026153224,0.3150566993800834,0.2608955547462423,0.2738797820995025,0.34433520788692634,0.3137331871432809,0.2728728455197358,0.5612991175657445,0.7580568056114708
54.2,0.0,0.0,0.0,0.6718787712911365,0.0,0.0,0.0,0.0,0.21780334488053202,0.21112030438213086,0.4270311613152611,0.3330246519889296,0.6931471805599454,0.4058848989442073,0.5265890341390446,0.49870561905331295,0.3142238055481721,0.27324622941601384,0.8325546111576978,1.5733717633667337
13.8,0.0,0.0,0.0,0.2188590966245026,0.0,0.0,0.0,0.0,0.063591834009471,0.04202348267097438,0.349051018828073,0.03632634753426401,0.3311874804136846,0.2679528113663724,0.2860713863032661,0.24892184488073515,0.1920115879079691,0.17564228999520848,0.5754889055522135,0.627011768535484
211.49400000000009,0.6931471805599452,0.5265890341390445,0.4804530139182012,0.6931471805599453,0.4804530139182012,0.3330246519889293,0.4077481157115732,0.8325546111576977,0.20651448450708926,0.11170950271201797,0.6931471805599452,0.2035633105180363,0.588256184468906,0.23277969082919234,0.46263667504573663,0.11161844009804803,0.16116274558280055,0.1494218699657688,0.7669786075692764,1.0000000000000002
211.49400000000009,0.6931471805599452,0.5265890341390445,0.4804530139182012,0.6931471805599453,0.4436666756559586,0.3330246519889293,0.4804530139182014,0.8325546111576977,0.9609060278364028,0.4804530139182014,0.6400757127765437,0.3330246519889296,0.6931471805599454,0.6931471805599453,0.5265890341390446,0.6931471805599453,0.6931471805599453,0.5265890341390446,0.8325546111576978,1.082914359542227
124.4,0.3786310369358592,0.3210910045888772,0.14336146213112397,0.43525648090479274,0.24382376070631817,0.05428109906334838,0.1601230566361687,0.615330022781157,0.1946118557540191,0.10568034181345586,0.6439613685119595,0.07563328840005773,0.42289997653650835,0.257913940838859,0.35269702607959935,0.2945770482533768,0.24280015680357483,0.21736702470634414,0.6503076014752621,0.6759046461289537
211.49400000000009,0.6045075907364785,0.4728169124612136,0.3654294272580218,0.5677616315216611,0.2932969231585418,0.22090486265595802,0.28431973038223546,0.777500862209476,0.5709003315802323,0.301565995438095,0.485183193152653,0.1040436836714371,0.47033277123260847,0.5180198426691991,0.38548875015986256,0.5471711456807689,0.531148951770246,0.42601840245276373,0.6858081154613209,1.1702005336013908
167.1,0.5018119482911083,0.4066723446322271,0.25181523144771795,0.478396112708405,0.25315228318746086,0.12636389190215572,0.1995297764925111,0.708386863437704,0.3750559879692593,0.1994876894091129,0.5044763960873319,0.062863731257733,0.3976186242117157,0.40316962862060074,0.3347698056016086,0.4370737220520156,0.41699270564664037,0.34853681295121486,0.6305700787475692,0.9483022722545535
195.4,0.5519455717763241,0.43950935141431957,0.30464391420349335,0.588001554868875,0.21754910984284073,0.16814685941322455,0.30482876684718613,0.7429303949740675,0.604323710923678,0.32180302230871866,0.3941495701155883,0.16845313097269365,0.5522804827768741,0.5302802095101787,0.43972512887122117,0.6892882455303289,0.547282604346992,0.4365002338644918,0.7431557594319472,1.4918234077901888
162.8,0.5265677203434231,0.42302189535547075,0.27727356410766946,0.3356279141016154,0.27131202657073417,0.14600330856367152,0.04801558487480936,0.7256498607065416,0.10943198405446407,0.05945481105291328,0.5152462182713872,0.0007582003361664257,0.09118596339990986,0.25102127609398006,0.08726514457116395,0.28791035689518757,0.17714501254181325,0.16309202590719318,0.30197013660279365,0.65139326054177
211.49400000000009,0.6931471805599452,0.5265890341390445,0.4804530139182012,0.6931471805599453,0.4804530139182012,0.3330246519889293,0.4804530139182014,0.8325546111576977,0.9609060278364028,0.4804530139182014,0.6931471805599452,0.3330246519889296,0.6931471805599454,0.6931471805599453,0.5265890341390446,0.6931471805599453,0.6931471805599453,0.5265890341390446,0.8325546111576978,1.0000000000000002
211.49400000000009,0.6931471805599452,0.5265890341390445,0.4804530139182012,0.6931471805599453,0.4804530139182012,0.3330246519889293,0.4804530139182014,0.8325546111576977,0.9609060278364028,0.4804530139182014,0.6931471805599452,0.3330246519889296,0.6931471805599454,0.6931471805599453,0.5265890341390446,0.6931471805599453,0.6931471805599453,0.5265890341390446,0.8325546111576978,1.0000000000000002
67.3,0.2148070649127363,0.19458526987285527,0.0461420751364245,0.2851054214558486,0.0857329108351247,0.009911643729038295,0.06380012445486394,0.46347283082478125,0.15147399209308812,0.08437770069476604,0.3991158804295056,0.02620106198937514,0.29701129467404735,0.28778758620493705,0.2600626136032882,0.32348853221630114,0.29595263486714424,0.2592460500918054,0.5449874261614183,0.7143424640208116
