TotalGHGEmissions,NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUIWN(kBtu/sf),Electricity(kBtu),PropertyGFABuilding(s),LargestPropertyUseTypeGFA,PropertyGFATotal,SourceEUIWN(kBtu/sf),PropertyGFAParking
49.3,0.17609029677077848,0.16896984164440446,0.25470763343215047,0.13391705682863805,0.2518213787139167,0.3019240280947758,0.1778468427277233,0.2447698313129204,0.0
79.2,0.25270975272040097,0.3126778474834918,0.4124728452655691,0.3150566993800834,0.2608955547462423,0.34433520788692634,0.3137331871432809,0.44403134375238673,0.6931471805599453
54.2,0.0,0.6718787712911365,0.4270311613152611,0.6931471805599454,0.4058848989442073,0.49870561905331295,0.3142238055481721,0.5675081973062653,0.0
13.8,0.0,0.2188590966245026,0.349051018828073,0.3311874804136846,0.2679528113663724,0.24892184488073515,0.1920115879079691,0.4697062555935528,0.0
211.49400000000009,0.6931471805599452,0.6931471805599453,0.6931471805599452,0.588256184468906,0.23277969082919234,0.11161844009804803,0.16116274558280055,0.6931471805599453,0.0
211.49400000000009,0.6931471805599452,0.6931471805599453,0.6400757127765437,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6532212777441603,0.6931471805599453
124.4,0.3786310369358592,0.43525648090479274,0.6439613685119595,0.42289997653650835,0.257913940838859,0.2945770482533768,0.24280015680357483,0.6774005397775831,0.48105037515448906
211.49400000000009,0.6045075907364785,0.5677616315216611,0.485183193152653,0.47033277123260847,0.5180198426691991,0.5471711456807689,0.531148951770246,0.4713947036359183,0.6931471805599453
167.1,0.5018119482911083,0.478396112708405,0.5044763960873319,0.3976186242117157,0.40316962862060074,0.4370737220520156,0.41699270564664037,0.4947384340374121,0.6931471805599453
195.4,0.5519455717763241,0.588001554868875,0.3941495701155883,0.5522804827768741,0.5302802095101787,0.6892882455303289,0.547282604346992,0.4055011473909864,0.6931471805599453
162.8,0.5265677203434231,0.3356279141016154,0.5152462182713872,0.09118596339990986,0.25102127609398006,0.28791035689518757,0.17714501254181325,0.367300527863554,0.0
211.49400000000009,0.6931471805599452,0.6931471805599453,0.6931471805599452,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
211.49400000000009,0.6931471805599452,0.6931471805599453,0.6931471805599452,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
67.3,0.2148070649127363,0.2851054214558486,0.3991158804295056,0.29701129467404735,0.28778758620493705,0.32348853221630114,0.29595263486714424,0.4367226417442825,0.6589818339600106
52.8,0.18090281042542516,0.19915292663573284,0.20095834108472985,0.18640435508380657,0.3621134985072229,0.44674282565198625,0.27523426684293584,0.1655309311919171,0.0
211.49400000000009,0.6931471805599452,0.6931471805599453,0.6067110120992611,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5781780543467079,0.6931471805599453
176.3,0.0,0.5503389861047646,0.6931471805599452,0.47862459987437517,0.41679457487551946,0.3312590535002798,0.3239704181164844,0.6931471805599453,0.0
211.49400000000009,0.0,0.6931471805599453,0.4124728452655691,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.41089238353797497,0.0
87.8,0.0,0.34587043137183854,0.5382930184666014,0.34737955639125095,0.22990683989244387,0.282481956233986,0.1586490137502853,0.5887352663865476,0.0
211.49400000000009,0.10676678618623331,0.6931471805599453,0.5407530443074637,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5775714054564699,0.0
25.3,0.0,0.3705417109042478,0.5686167487943987,0.5416958170025287,0.29034124779781084,0.23611706732998483,0.22188985106817588,0.6931471805599453,0.10059326484164023
211.49400000000009,0.6931471805599452,0.6931471805599453,0.4284066773505711,0.6931471805599454,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.480128970395254,0.6931471805599453
56.7,0.17113779055597655,0.2864677577060161,0.47997484804551477,0.32991566689637564,0.2208683426358443,0.24985011063765933,0.26391370863780894,0.5508195103356832,0.6931471805599453
176.9,0.5344253667779466,0.46118639972919273,0.5190198076550266,0.3429341233603722,0.37392607909438824,0.39875879832191186,0.4548607547685192,0.4834680946410992,0.6931471805599453
