DataYear,BuildingType,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,NumberofBuildings,CouncilDistrictCode_bins
2019,Multifamily LR (1-4),47.65295,-122.35593,LAKE UNION,6,2015,4,41403.0,41403.0,0.0,99.0,29.9,29.8,1257132.0,1252631.0,64.7,64.6,38468.0,234361.0,0.0,4530.0,799639.0,452992.0,29.0,0.7,1,Muito_Grande
2019,Multifamily LR (1-4),47.59052,-122.29208,CENTRAL,3,2015,3,25442.0,24838.0,604.0,73.20295,67.7,67.3,2299911.0,2285807.0,112.0,111.6,25052.0,232680.0,0.0,14919.0,793906.0,1491901.0,84.1,3.4,1,Pequena
2019,Multifamily MR (5-9),47.66366,-122.3145,NORTHEAST,1,2015,7,63825.0,58975.0,4850.0,98.0,42.2,41.8,2102855.0,2079804.0,90.8,89.7,48591.0,382461.0,0.0,7748.0,1304958.0,774847.0,49.2,0.8,1,Muito_Pequena
2019,Multifamily MR (5-9),47.65577,-122.31702,NORTHEAST,4,2015,7,206126.0,164437.0,0.0,72.0,54.1,53.7,9141320.220000016,8998438.580000002,101.7,101.3,156766.0,1571232.56,0.0,43301.02000000004,5708139.680000001,4331672.12,211.49400000000006,1.6,1,Média
2019,Multifamily MR (5-9),47.60189,-122.32182,EAST,3,2015,6,86045.0,77137.0,8908.0,93.0,25.9,25.8,2061813.0,2057126.0,72.4,72.2,78359.0,602909.0,0.0,0.0,2057126.0,0.0,12.7,0.2,1,Pequena
2019,NonResidential,47.62497,-122.33883,LAKE UNION,1,2015,6,206126.0,164437.0,22225.0,73.20295,96.0,95.88600000000007,9141320.220000016,8998438.580000002,188.28000000000011,188.44000000000005,151523.0,1571232.56,0.0,43301.02000000004,5708139.680000001,4331672.12,211.49400000000006,3.3,1,Muito_Pequena
2019,Multifamily MR (5-9),47.55976,-122.3832,SOUTHWEST,1,2015,7,206126.0,149318.0,22225.0,98.0,36.1,36.1,4368540.0,4367204.0,74.3,74.5,121089.0,743632.0,0.0,18299.0,2537273.0,1829930.0,112.8,0.8,1,Muito_Pequena
2019,Multifamily LR (1-4),47.62397,-122.35972,MAGNOLIA / QUEEN ANNE,7,2014,4,23060.0,23060.0,0.0,95.0,30.3,30.0,697667.0,691737.0,65.1,64.6,23060.0,127683.0,0.0,2561.0,435653.0,256084.0,16.3,0.7,1,Muito_Grande
2019,Multifamily LR (1-4),47.61791,-122.3023,CENTRAL,1,2014,4,20246.0,17666.0,2580.0,90.0,42.4,42.0,858294.0,850142.0,90.5,89.6,20246.0,154228.0,0.0,3239.0,526226.0,323916.0,20.4,1.2,1,Muito_Pequena
2019,Multifamily HR (10+),47.61067,-122.33957,DOWNTOWN,1,2015,10,206126.0,164437.0,22225.0,84.0,41.9,41.9,9141320.220000016,8998438.580000002,91.2,91.2,156766.0,1571232.56,0.0,43301.02000000004,5708139.680000001,4331672.12,211.49400000000006,0.9,1,Muito_Pequena
2019,Multifamily LR (1-4),47.65673,-122.3201,NORTHEAST,1,2016,4,22694.0,22694.0,0.0,100.0,26.2,26.2,595545.0,594898.0,53.4,53.5,22694.0,98591.0,0.0,2585.0,336391.0,258507.0,15.8,0.7,1,Muito_Pequena
2019,Multifamily MR (5-9),47.61251,-122.34166,DOWNTOWN,7,2016,7,41706.0,40061.0,1645.0,73.20295,51.7,51.4,2155470.0,2141989.0,125.2,124.4,41706.0,492556.0,0.0,4614.0,1680601.0,461388.0,34.9,0.9,1,Muito_Grande
2019,Multifamily MR (5-9),47.60282,-122.31709,EAST,3,2016,5,25020.0,25020.0,0.0,99.0,52.4,51.7,1314116.0,1297775.0,123.8,122.1,25091.0,285018.0,0.0,3253.0,972483.0,325292.0,23.3,0.9,1,Pequena
2019,Multifamily MR (5-9),47.57489,-122.38642,SOUTHWEST,1,2017,5,161999.0,161999.0,0.0,93.0,40.9,40.7,4921547.0,4892176.0,82.6,82.1,120328.0,804826.0,0.0,21461.0,2746067.0,2146110.0,130.9,0.8,1,Muito_Pequena
2019,Multifamily MR (5-9),47.61445,-122.32418,EAST,3,2016,7,206126.0,164437.0,22225.0,97.0,28.2,28.3,6137563.0,6150384.0,64.8,65.0,156766.0,1287109.0,0.0,17588.0,4391616.0,1758769.0,120.5,0.6,1,Pequena
2019,Multifamily MR (5-9),47.69034,-122.35842,NORTHWEST,1,2016,5,133881.0,99043.0,22225.0,99.0,35.5,35.4,3497230.0,3490198.0,73.1,73.1,88542.0,593225.0,0.0,14661.0,2024083.0,1466115.0,90.3,0.9,1,Muito_Pequena
2019,Multifamily LR (1-4),47.60594,-122.31477,CENTRAL,1,2016,4,29549.0,24556.0,4993.0,39.0,47.5,47.4,996417.0,995126.0,132.9,132.7,20996.0,291655.0,0.0,0.0,995126.0,0.0,6.1,0.2,1,Muito_Pequena
2019,Multifamily MR (5-9),47.62304,-122.34078,LAKE UNION,7,2016,8,206126.0,164437.0,0.0,100.0,29.2,30.3,6340434.0,6586001.0,58.8,59.9,156766.0,1020252.0,0.0,31049.0,3481100.0,3104900.0,186.4,0.8,1,Muito_Grande
2019,Multifamily MR (5-9),47.61272,-122.30288,CENTRAL,3,2016,6,104598.0,74310.0,22225.0,86.0,44.4,44.3,2667964.0,2661153.0,95.1,95.0,60132.0,488746.0,0.0,9936.0,1667601.0,993552.0,63.0,0.8,1,Pequena
2019,NonResidential,47.6479,-122.33814,LAKE UNION,1,2016,4,206126.0,164437.0,22225.0,77.0,67.5,67.5,9141320.220000016,8998438.580000002,176.8,176.8,156766.0,1571232.56,0.0,14633.0,5708139.680000001,1463324.0,156.1,0.7,1,Muito_Pequena
2019,Multifamily MR (5-9),47.66969,-122.38853,BALLARD,6,2016,7,115947.0,96495.0,19452.0,39.0,49.8,49.5,5269340.0,5238786.0,100.0,99.7,105778.0,844705.0,0.0,23567.0,2882132.0,2356653.0,142.9,1.5,1,Muito_Grande
2019,Multifamily MR (5-9),47.66348,-122.31611,NORTHEAST,1,2016,6,31988.0,31988.0,0.0,99.0,26.7,26.3,805336.0,794053.0,74.6,73.6,28701.0,232724.0,0.0,0.0,794053.0,0.0,4.9,0.2,1,Muito_Pequena
2019,NonResidential,47.70598,-122.33486,NORTHWEST,5,2016,2,44745.0,44745.0,0.0,79.0,39.3,39.3,1754486.0,1754486.0,110.0,110.0,44667.0,514210.0,0.0,0.0,1754486.0,0.0,10.8,0.2,1,Grande
2019,Multifamily LR (1-4),47.61833,-122.30916,SHARED: CENTRAL &amp; EAST,1,2016,4,30106.0,30106.0,0.0,88.0,29.4,29.4,655384.0,655384.0,82.3,82.3,22299.0,192082.0,0.0,0.0,655384.0,0.0,4.0,0.1,1,Muito_Pequena
2019,Multifamily LR (1-4),47.56373,-122.38575,SOUTHWEST,1,2016,4,69511.0,69511.0,0.0,99.0,30.2,30.2,1688890.0,1689144.0,64.6,64.7,55965.0,309709.0,0.0,6324.0,1056727.0,632417.0,40.1,0.6,1,Muito_Pequena
2019,Multifamily MR (5-9),47.67744,-122.31988,NORTHEAST,4,2016,6,206126.0,164437.0,0.0,100.0,26.4,26.2,6372175.0,6317460.0,52.4,52.2,156766.0,999585.0,0.0,29069.0,3410583.0,2906878.0,175.4,0.6,1,Média
2019,Multifamily LR (1-4),47.55992,-122.29117,SOUTHEAST,1,2016,4,206126.0,164437.0,0.0,92.0,29.0,28.8,7349012.0,7293182.0,64.4,63.9,156766.0,1431895.0,0.0,24076.0,4885626.0,2407557.0,158.0,0.6,5,Muito_Pequena
2019,Multifamily LR (1-4),47.61269,-122.30098,CENTRAL,3,2016,5,44192.0,44192.0,0.0,7.0,55.5,55.2,1456780.0,1448456.0,151.1,150.1,26253.0,405438.0,0.0,651.0,1383354.0,65101.0,12.0,0.3,1,Pequena
2019,Multifamily LR (1-4),47.64626,-122.3603,MAGNOLIA / QUEEN ANNE,1,2016,3,139061.0,139061.0,0.0,59.0,43.6,43.6,6316335.0,6325250.0,89.6,89.8,145000.0,1068094.0,0.0,26809.0,3644337.0,2680913.0,164.8,1.2,1,Muito_Pequena
2019,Multifamily MR (5-9),47.57974,-122.31103,GREATER DUWAMISH,2,2016,6,185611.0,164437.0,0.0,97.0,35.6,35.3,4819370.0,4776762.0,66.5,66.2,110888.0,661434.0,0.0,25199.0,2256813.0,2519949.0,147.7,0.8,2,Muito_Pequena
2019,Multifamily MR (5-9),47.59944,-122.30495,CENTRAL,3,2016,7,50726.0,50726.0,0.0,79.0,32.3,31.9,1638647.0,1618218.0,90.5,89.3,50726.0,474273.0,0.0,0.0,1618218.0,0.0,10.0,0.2,1,Pequena
2019,Multifamily HR (10+),47.61181,-122.32319,EAST,3,2016,10,206126.0,164437.0,0.0,67.0,48.0,48.2,7418070.0,7447006.0,97.4,97.6,154525.0,1216265.0,0.0,32971.0,4149896.0,3297110.0,200.7,0.9,1,Pequena
2019,Multifamily LR (1-4),47.6531,-122.34317,LAKE UNION,4,2016,5,206126.0,164437.0,22225.0,99.0,41.5,41.1,7913072.0,7844562.0,83.2,82.4,156766.0,1254680.0,0.0,35636.0,4280968.0,3563592.0,211.49400000000006,0.6,1,Média
2019,NonResidential,47.60039,-122.33247,DOWNTOWN,7,2016,8,206126.0,164437.0,22225.0,95.0,28.6,28.6,6241604.0,6241604.0,80.2,80.2,156766.0,1571232.56,0.0,0.0,5708139.680000001,0.0,38.5,0.2,1,Muito_Grande
2019,Multifamily MR (5-9),47.56127,-122.38861,SOUTHWEST,1,2017,5,29317.0,27424.0,1893.0,73.20295,27.3,27.1,772476.0,766752.0,60.8,60.3,28317.0,151001.0,0.0,2515.0,515215.0,251537.0,16.5,0.6,1,Muito_Pequena
2019,Multifamily MR (5-9),47.66974,-122.38513,BALLARD,6,2016,6,178578.0,122827.0,22225.0,99.0,25.5,25.4,4656788.0,4638614.0,59.2,59.1,141919.0,992723.0,0.0,12514.0,3387170.0,1251444.0,87.3,0.7,1,Muito_Grande
2019,Multifamily LR (1-4),47.62422,-122.35709,MAGNOLIA / QUEEN ANNE,7,2016,3,75494.0,41008.0,22225.0,73.20295,37.9,37.9,1721833.0,1721833.0,106.1,106.1,29193.0,504640.0,0.0,0.0,1721833.0,0.0,10.6,0.3,1,Muito_Grande
2019,NonResidential,47.66673,-122.38309,BALLARD,6,2016,4,37100.0,37100.0,0.0,89.0,37.3,37.3,1280801.0,1280801.0,89.5,89.5,34350.0,289425.0,0.0,2933.0,987518.0,293283.0,21.7,0.6,1,Muito_Grande
2019,Nonresidential COS,47.70562,-122.32319,NORTH,5,2005,1,20616.0,20616.0,0.0,73.20295,38.4,38.4,790874.0,790874.0,107.4,107.4,20616.0,231792.0,0.0,0.0,790874.0,0.0,4.9,0.2,1,Grande
2019,Nonresidential COS,47.63191,-122.31523,EAST,3,1912,1,23445.0,23445.0,0.0,73.20295,96.0,95.88600000000007,9141320.220000016,8998438.580000002,188.28000000000011,188.44000000000005,23445.0,381458.0,0.0,43301.02000000004,1301533.0,4331672.12,211.49400000000006,9.3,1,Pequena
